Date,Close
39161.00,50.41
39160.00,50.36
39157.00,49.34
39156.00,49.66
39155.00,49.35
39154.00,48.62
39153.00,50.32
39150.00,49.32
39149.00,49.69
39148.00,48.6
39147.00,49.15
39146.00,47.03
39143.00,47.72
39142.00,48.24
39141.00,48.99
39140.00,48.03
39139.00,51.3
39136.00,51.38
39135.00,51.46
39134.00,51.19
39133.00,51.05
39129.00,50.92
39128.00,50.53
39127.00,50.43
39126.00,49.66
39125.00,49.06
39122.00,49.2
39121.00,49.45
39120.00,49.72
39119.00,50
39118.00,49.34
39115.00,49.07
39114.00,48.55
39113.00,47.31
39112.00,47.44
39111.00,47.04
39108.00,47.49
39107.00,47.32
39106.00,48.6
39105.00,47.57
39104.00,47
39101.00,47.47
39100.00,47.35
39099.00,47.62
39098.00,48.01
39094.00,47.86
39093.00,46.81
39092.00,46.45
39091.00,46.6
39090.00,47.12
39087.00,47.03
39086.00,48.19
39085.00,48.73
39080.00,49.4
39079.00,49.4
39078.00,49.65
39077.00,49.57
39073.00,49.16
39072.00,49.49
39071.00,49.73
39070.00,49.52
39069.00,49.71
39066.00,49.89
39065.00,49.99
39064.00,48.47
39063.00,48.08
39062.00,48.55
39059.00,48.65
39058.00,49.42
39057.00,49.66
39056.00,50.05
39055.00,50.05
39052.00,49.51
39051.00,49.5
39050.00,49.5
39049.00,48.87
39048.00,48.7
39045.00,49.39
39043.00,49.69
39042.00,49.14
39041.00,48.77
39038.00,49.06
39037.00,49.26
39036.00,49.3
39035.00,49.42
39034.00,48.96
39031.00,48.56
39030.00,48.48
39029.00,48.03
39028.00,47.9
39027.00,48.09
39024.00,47.77
39023.00,47.57
39022.00,47.1
39021.00,47.24
39020.00,46.61
39017.00,46.75
39016.00,47.35
39015.00,47.08
39014.00,46.62
39013.00,46.58
39010.00,46.47
39009.00,46.46
39008.00,46.55
39007.00,46.42
39006.00,46.8
39003.00,46.43
39002.00,46.27
39001.00,45.4
39000.00,45.61
38999.00,45.5
38996.00,47.3
38995.00,47.79
38994.00,47.13
38993.00,46.89
38992.00,46.97
38989.00,46.25
38988.00,47.45
38987.00,47.15
38986.00,46.85
38985.00,47.11
38982.00,46.3
38981.00,47.09
38980.00,47.5
38979.00,46.7
38978.00,46.85
38975.00,46.3
38974.00,45.8
38973.00,45.5
38972.00,45.67
38971.00,45.1
38968.00,46.14
